id,first_name,age,score
1,Raquel,1,7.2
2,Andrea,2,53.03
3,Eunice,3,55.27
4,Michel,4,2.93
5,Cleavland,5,43.42
6,Mina,6,44.05
7,Janel,7,3.73
8,Tisha,8,76.25
9,Marylou,9,34.19
10,Moore,10,9.33
11,Gilligan,11,45.37
12,Eliza,12,37.23
13,Janeczka,13,95.47
14,Hazel,14,66.45
15,Berkly,15,97.75
16,Dara,16,95.04
17,Sheff,17,28.11
18,Pier,18,73.94
19,Maddie,19,8.96
20,Ellis,20,46.4
21,Daniella,21,87.76
22,Tammie,22,92.98
23,Hetti,23,46.97
24,Kahlil,24,2.81
25,Loretta,25,22.15
26,Jaine,26,22.74
27,Robinet,27,4.27
28,Leon,28,62.71
29,Cordie,29,21.23
30,Nan,30,45.86
31,Sloan,31,28.68
32,Lemmie,32,6.35
33,Paulie,33,96.07
34,Chickie,34,46.73
35,Fayre,35,63.58
36,Marlon,36,83.95
37,Ivonne,37,96.4
38,Min,38,38.28
39,Vidovic,39,99.34
40,Marnie,40,77.31
41,Gabriell,41,3.82
42,Pasquale,42,17.17
43,Domingo,43,96.79
44,Opaline,44,26.45
45,Gustaf,45,81.05
46,Marillin,46,11.44
47,Jewell,47,86.35
48,Lyda,48,1.8
49,Roselia,49,54.51
50,Hildy,50,13.76
51,Claudius,51,37.92
52,Carlotta,52,41.24
53,Beverly,53,91.79
54,Jan,54,29.59
55,Cherish,55,97.04
56,Randie,56,33.97
57,Alyssa,57,2.83
58,Danny,58,69.0
59,Brady,59,75.69
60,Ellene,60,35.3
61,Hermon,61,55.47
62,Hector,62,92.64
63,Chev,63,44.27
64,Wilma,64,35.83
65,Elset,65,61.53
66,Beryle,66,20.88
67,Arleen,67,7.35
68,Aurie,68,74.06
69,Joyan,69,82.7
70,Ramon,70,2.67
71,Janela,71,79.13
72,Dorolice,72,5.15
73,Sharia,73,41.14
74,Quint,74,72.95
75,Robinetta,75,71.49
76,Merry,76,78.34
77,Pearce,77,72.26
78,Gino,78,88.3
